number,value,state,net_pnl,max_drawdown,sharpe_like,maker_fee,volume_cap_ratio,fill_on_touch,rng_seed,MIN_SPREAD,BASE_SPREAD_raw,MAX_SPREAD,ORDER_LEVELS,MIN_ORDER_SIZE,ORDER_SIZE_INCREMENT,MAX_POSITION,INVENTORY_EXTREME,VOLATILITY_WINDOW,VOLATILITY_STD,STOP_LOSS_PCT,TAKE_PROFIT_PCT
36,0.01050575,1,0.011753,0.004989,0.0448,-1.7279853522002047e-05,0.17635329012413214,True,6,0.00011418111332676813,0.0017987089212577784,0.009732331136346297,5,0.08678884963333754,0.026902869569937052,0.6880897032846407,0.7176414709315991,59,2.8764340731464393,0.014066265246553767,0.0079607412637656
37,0.01051775,1,0.011765,0.004989,0.0449,1.5403149757845717e-05,0.20644152734304771,True,2,0.000157909826491306,0.002803736279193917,0.010096396793030094,8,0.16651322922071676,0.08006874165098078,1.928892730468142,0.7135014662021102,73,2.608485420186657,0.005308725699592,0.0038680448740878886
38,0.0,1,0.0,0.0,0.0,3.837601666546747e-05,0.478825882519966,False,5,0.0003708354200791832,0.0036677215985014343,0.012238954052278365,2,0.08152672460810825,0.06192869883828066,0.34874486534726973,0.902526340138668,55,2.7114585400329405,0.01616877020680067,0.013766072209023136
39,0.0,1,0.0,0.0,0.0,-4.427957446660132e-06,0.1701881954220913,False,3,0.00013178422247153192,0.0032441595963805213,0.009263420034855366,8,0.08118963694602956,0.06980506877644571,2.157303630206674,0.6967881154804125,48,2.0280051616804164,0.006045197611668778,0.004457062366161345
40,0.0104905,1,0.011738,0.00499,0.0448,-1.9579633176754273e-05,0.1831827196299227,True,2,0.00018840992488046746,0.0013546424536656507,0.005944024659685893,8,0.18740617461013612,0.16171902702244462,2.7128011002440724,0.8388303267273407,80,2.653364831207548,0.004256814914607286,0.00318939590556266
41,0.01031675,1,0.011566,0.004997,0.0441,-4.6243670893043726e-05,0.23354009807112971,True,1,0.0001963442897157075,0.001568111956753337,0.004696850203813501,7,0.1817115835673536,0.1646491957823538,22.889271966301653,0.6831023725274702,54,2.8971477149333555,0.007518011133093958,0.003888128192929797
42,0.0105865,1,0.011833,0.004986,0.0451,4.817260906192079e-06,0.29602017872397546,True,4,0.00018370735316134532,0.0020069684935626756,0.010751810193009578,6,0.17081334283855024,0.09969648177930192,6.402060152211129,0.614390081080094,94,2.243208595556139,0.0024620063498667208,0.002159231307819427
43,0.01051275,1,0.01176,0.004989,0.0449,-1.6243231773578903e-05,0.36231689044323645,True,3,7.085777988387122e-05,0.004988881870967992,0.011757226049596056,8,0.0310107684423788,0.015619492691958704,0.4310962897331297,0.6236675702294434,132,2.2091337055031244,0.00890992976677482,0.004062577993678198
44,0.01004525,1,0.011297,0.005007,0.0431,-8.804574541599731e-05,0.2878287565773786,True,4,0.00020025228467679529,0.0012622837672970246,0.008809164511172193,6,0.07079677205511706,0.06792247060828976,5.519506987240721,0.6701944160183357,83,2.5801470394097366,0.0022216009901382897,0.003284332297953555
45,0.01051475,1,0.011762,0.004989,0.0449,-1.5887637843905927e-05,0.2830428792524374,True,5,0.000180906148842107,0.004049563578756196,0.010170610257058817,7,0.1586942553354258,0.10920870136340731,6.400213444654425,0.9972726482950728,43,2.699870599146652,0.014554083136204599,0.012121880369798074
46,0.009918,1,0.011171,0.005012,0.0427,0.00010759932313491241,0.5866221919013306,True,2,0.0006002891317831588,0.0020078168531452185,0.009182581067428593,4,0.038356967318736994,0.019719590369223917,2.465632225848688,0.8078945131046439,112,2.872710486099681,0.01805439849263527,0.013027904387295118
47,0.01055525,1,0.011802,0.004987,0.045,9.655284018944492e-06,0.5404457582878299,True,3,0.0009781781876919541,0.003459503507850577,0.010721767582708442,4,0.009356438954410125,0.007728029216913644,0.2835706184180461,0.7613694687708396,91,2.711868888271257,0.017350668607223698,0.004387682719802945
48,0.009515000000000001,1,0.010772,0.005028,0.0412,0.00016958551693298783,0.3463064564469453,True,2,0.0001044859277264046,0.0011093708460007388,0.009123074877483804,3,0.08596775129102756,0.07977820573784608,3.565870479025957,0.6336978996262637,122,1.6844628580597687,0.0020150916538817917,0.002420469838695152
49,0.008593,1,0.009859,0.005064,0.0378,0.0003113421477908474,0.31583937951130003,True,4,0.00038968419387706106,0.000572314218104722,0.005858640275785838,6,0.10721868927499592,0.09416784356920023,7.886063495127575,0.6514914370845047,105,2.1627277402255456,0.002775167139077819,0.002072279637013554
50,0.0092575,1,0.010517,0.005038,0.0402,-0.00020914104303294812,0.5854315335726812,True,2,0.0009128082172254501,0.003963151767413148,0.011536656530151415,5,0.005399923514740399,0.004990954445675929,0.23259850865487994,0.6869362429378367,77,2.4758543506122166,0.010299455069205122,0.003048395650043089
51,0.0,1,0.0,0.0,0.0,0.00010523186384323393,0.5794235540325611,False,4,0.0004205482718199532,0.0017124682763354686,0.011958607354224625,4,0.012258677396734797,0.008020528980870967,0.2843321652806768,0.7501483124587691,72,2.657315639152822,0.019430041277871204,0.005721249143666441
