number,value,state,net_pnl,max_drawdown,sharpe_like,min_spread_pct,base_spread_pct,max_spread_pct,base_order_size_pct_of_balance,min_order_value_usd,max_order_size_pct,max_inventory_ratio,skew_intensity,volatility_window_sec,volatility_multiplier,min_profit_spread_after_fees_pct,max_daily_loss_pct,order_stale_threshold_pct,max_outstanding_orders
35,0.0,1,0.0,0.0,0.0,0.00013000258968851587,0.004635162007681774,0.007814421283837143,0.00868910868007216,36.79659792674696,0.13058929801087144,0.5663428648356098,0.2769184918072667,134,4.889687272667318,0.0007210214159476058,0.05864489581950479,0.0009639258406552886,1
36,,3,,,,0.00023400687605859577,0.003297708465362942,0.01035205401649175,0.009696065746271909,38.36619240963082,0.08562626822200742,0.402492719572203,0.16612567629831088,145,2.9509114707273874,0.00025009467856277007,0.03816422116239858,0.0007897266009022295,3
37,,3,,,,0.00012002839024037992,0.004022767147760136,0.010926393207015191,0.005459782797772455,46.453024284005956,0.1999920340894244,0.32762033954933817,0.11081444331813155,141,2.0802686608131906,0.0003300653548769343,0.01998544021899084,0.0007368056469073194,2
38,,3,,,,0.0003435189823590528,0.0035942594150196435,0.010320924714952872,0.006366611915624203,32.97483859248296,0.05604352452749258,0.3139014007311883,0.17485538865905934,126,4.013180870942985,0.0006689730307353701,0.08248952390872694,0.0007784635582034872,4
39,,3,,,,0.0006053322013125542,0.0010086830030823105,0.0026558148532634584,0.0010735228881956307,47.13004608449566,0.45987490483508126,0.6314930153190281,0.3309159315329092,52,4.869577561256694,0.0003025362568194208,0.010125760843132842,0.000506621204858878,1
40,,3,,,,0.00016769703571023803,0.0037873123296603053,0.010422505358938013,0.006941097328601376,24.779507751285642,0.1778099549393533,0.7645291517714585,0.2345448251506579,108,2.3500219934430406,0.0009498147303877869,0.04530922894936011,0.00040881621986831593,3
41,,3,,,,0.0003332693552980051,0.0005185980892359047,0.002428660562138834,0.0017366056267194875,30.915844098635155,0.18557603795277183,0.6872704493491443,0.2675469336695563,85,4.936080974598877,0.0007222221055792335,0.013312322538792151,0.0005089940613610124,1
42,,3,,,,0.00028219882048923704,0.0028905706275721642,0.008888336058906465,0.005414110569572633,16.6567387491328,0.06908008067075268,0.22627127945589504,0.19614159848770746,131,3.995450301365247,0.00031865086652336843,0.02025935603665032,0.00036145350453319037,2
43,,3,,,,0.0001209480373450228,0.004328745859372621,0.009943535782610145,0.00876980693110027,38.67775046796729,0.08929256553987754,0.43716156595159705,0.39324150058284846,126,3.5913994451230526,0.000361701731344484,0.03863029184614571,0.000326830677846044,3
44,,3,,,,0.00010671359138642115,0.0016003698167336442,0.003753776746524211,0.006480669020888345,38.206574070068996,0.16501639943681606,0.47688844199944835,0.3028460134266321,171,4.537796248358752,0.00084691114994392,0.07759528731730395,0.000604426205960185,4
45,,3,,,,0.00027586810836550783,0.0027506302831106135,0.010242632407417263,0.0094994708484587,25.317532569265353,0.10002333618885623,0.49096225531909576,0.22226612320490974,86,3.9735171780742204,0.0004309460072943372,0.03772285961294037,0.00041013990396327106,4
46,,3,,,,0.00017525399101122786,0.0016608137373286091,0.0037045457242030778,0.005689152809716683,30.843200701243525,0.11846777102993894,0.4530962139345899,0.15993588921051852,131,4.366804523450003,0.0006124653347478608,0.06273412628942712,0.00020973109197193335,1
47,,3,,,,0.00016297942225956,0.003044483701264074,0.010287940905010697,0.008742282504817487,33.61100484504153,0.2504128902494423,0.45485311786793314,0.2520258208479778,115,3.7174158973512927,0.0007869105694955443,0.01833551432012316,0.00015270519059154143,3
48,,3,,,,0.00030696368879850916,0.004693476660168208,0.010554930035461102,0.0031349167070873624,32.380127412015895,0.06714193300786545,0.5546803591032693,0.19278293322037027,106,4.345972292996171,0.00064541589248892,0.04001118739351391,0.00034765303426902166,4
49,,3,,,,0.0005278593565279825,0.0010401538456845715,0.002676983481563418,0.0037777708219200773,41.18417997522292,0.37683687891825046,0.5438821268823786,0.23427330732828086,40,4.689117768553448,0.00013873071132957082,0.03290688970697393,0.0004039481067738583,1
